Index,Time,Motor.Angle,pida.setpoint,Aref2
406,4.067484,6.2000432,6.28318501,2.5103302
407,4.077491,6.20100355,6.28318501,2.69035864
408,4.087487,6.20195389,6.28318501,2.86365652
409,4.097486,6.20288944,6.28318501,3.02980971
410,4.107484,6.20381165,6.28318501,3.18838954
411,4.117486,6.20472431,6.28318501,3.33899426
412,4.127486,6.20565367,6.28318501,3.48125339
413,4.137503,6.20656109,6.28318501,3.6148212
414,4.147519,6.20744562,6.28318501,3.73934841
415,4.157490,6.20833683,6.28318501,3.85452867
416,4.167483,6.20920992,6.28318501,3.96007395
417,4.177483,6.21006346,6.28318501,4.05572081
418,4.187489,6.2109251,6.28318501,4.14122725
419,4.197470,6.21176624,6.28318501,4.21638012
420,4.207475,6.21260357,6.28318501,4.28100443
421,4.217486,6.21342707,6.28318501,4.33491898
422,4.227580,6.21425152,6.28318501,4.37800407
423,4.237489,6.21505594,6.28318501,4.41014194
424,4.247490,6.21585321,6.28318501,4.4312582
425,4.257491,6.21664715,6.28318501,4.44129944
426,4.267490,6.21743774,6.28318501,4.44024038
427,4.277485,6.21822214,6.28318501,4.4280839
428,4.287484,6.21899939,6.28318501,4.40485859
429,4.297485,6.21973991,6.28318501,4.37062454
430,4.307485,6.22050095,6.28318501,4.32546425
431,4.317489,6.22124958,6.28318501,4.2694993
432,4.327474,6.22198582,6.28318501,4.2028594
433,4.337485,6.22270823,6.28318501,4.12571478
434,4.347490,6.22341633,6.28318501,4.03825474
435,4.357490,6.22413063,6.28318501,3.94070101
436,4.367489,6.22483301,6.28318501,3.83330536
437,4.377490,6.22552729,6.28318501,3.71632504
438,4.387485,6.22621918,6.28318501,3.59005594
439,4.397490,6.22689295,6.28318501,3.45481396
440,4.407490,6.22757053,6.28318501,3.31093121
441,4.417490,6.22825241,6.28318501,3.15878463
442,4.427484,6.22890759,6.28318501,2.9987247
443,4.437490,6.22956467,6.28318501,2.8311882
444,4.447489,6.23021507,6.28318501,2.65656233
445,4.457485,6.23085308,6.28318501,2.47530317
446,4.467491,6.23148203,6.28318501,2.2878499
447,4.477489,6.23210716,6.28318501,2.09467077
448,4.487485,6.23272848,6.28318501,1.89627814
449,4.497488,6.23334312,6.28318501,1.69313848
450,4.507485,6.23395395,6.28318501,1.48577511
451,4.517548,6.23455572,6.28318501,1.27468204
452,4.527474,6.23514795,6.28318501,1.06040299
453,4.537485,6.23573208,6.28318501,0.843473256
454,4.547490,6.23632526,6.28318501,0.624443591
455,4.557595,6.23689556,6.28318501,0.403844744
456,4.567491,6.23747015,6.28318501,0.182244897
457,4.577484,6.23803234,6.28318501,-0.0398188978
458,4.587489,6.23859882,6.28318501,-0.261774719
459,4.597485,6.2391386,6.28318501,-0.483093083
460,4.607484,6.23967934,6.28318501,-0.703170359
461,4.617486,6.24023199,6.28318501,-0.921507001
462,4.627490,6.24076509,6.28318501,-1.13754046
463,4.637489,6.24127769,6.28318501,-1.35073876
464,4.647485,6.24179935,6.28318501,-1.56054485
465,4.657484,6.24232721,6.28318501,-1.76647413
466,4.667613,6.24282932,6.28318501,-1.96796489
467,4.677485,6.24333811,6.28318501,-2.16455221
468,4.687541,6.24385023,6.28318501,-2.35572147
469,4.697470,6.24433374,6.28318501,-2.54101706
470,4.707489,6.24484921,6.28318501,-2.7199471
471,4.717484,6.2453351,6.28318501,-2.89207911
472,4.727489,6.24579144,6.28318501,-3.05698252
